fold,strategy,test_start,test_end,sharpe,n_days
0,regime_momentum,1968-08-16,1969-09-11,1.6202003915446657,252
0,long_short_momentum,1968-08-16,1969-09-11,1.5811594978406052,252
1,regime_momentum,1969-09-12,1970-09-09,2.662845559107692,252
1,long_short_momentum,1969-09-12,1970-09-09,0.07910375973548421,252
2,regime_momentum,1970-09-10,1971-09-08,0.24028854980265657,252
2,long_short_momentum,1970-09-10,1971-09-08,0.9936637217266856,252
3,regime_momentum,1971-09-09,1972-09-05,2.9349230179585626,252
3,long_short_momentum,1971-09-09,1972-09-05,2.9696473689212044,252
4,regime_momentum,1972-09-06,1973-09-07,2.423461352003961,252
4,long_short_momentum,1972-09-06,1973-09-07,3.0071616818653575,252
5,regime_momentum,1973-09-10,1974-09-06,0.22040254102629597,252
5,long_short_momentum,1973-09-10,1974-09-06,1.7416315591713123,252
6,regime_momentum,1974-09-09,1975-09-05,-0.03095936395176795,252
6,long_short_momentum,1974-09-09,1975-09-05,-1.5748122059421303,252
7,regime_momentum,1975-09-08,1976-09-02,-0.29162295886039963,252
7,long_short_momentum,1975-09-08,1976-09-02,-0.24371815306105443,252
8,regime_momentum,1976-09-03,1977-09-02,3.60323656648506,252
8,long_short_momentum,1976-09-03,1977-09-02,3.60323656648506,252
9,regime_momentum,1977-09-06,1978-09-01,4.380062048225775,252
9,long_short_momentum,1977-09-06,1978-09-01,4.380062048225775,252
10,regime_momentum,1978-09-05,1979-08-31,-2.8225228682921126,252
10,long_short_momentum,1978-09-05,1979-08-31,-1.3135686955109598,252
11,regime_momentum,1979-09-04,1980-08-29,3.6524472034039177,252
11,long_short_momentum,1979-09-04,1980-08-29,2.2225304335719387,252
12,regime_momentum,1980-09-02,1981-08-31,-1.7294306730665743,252
12,long_short_momentum,1980-09-02,1981-08-31,0.7220505110353278,252
13,regime_momentum,1981-09-01,1982-08-30,1.8660052333549912,252
13,long_short_momentum,1981-09-01,1982-08-30,2.8143099993888843,252
14,regime_momentum,1982-08-31,1983-08-26,-0.40604275501954945,252
14,long_short_momentum,1982-08-31,1983-08-26,-0.06452663467492814,252
15,regime_momentum,1983-08-29,1984-08-24,-0.5209485927388968,252
15,long_short_momentum,1983-08-29,1984-08-24,-0.12347289716417462,252
16,regime_momentum,1984-08-27,1985-08-23,2.191994805330623,252
16,long_short_momentum,1984-08-27,1985-08-23,2.816797271134196,252
17,regime_momentum,1985-08-26,1986-08-25,3.9829108849291464,252
17,long_short_momentum,1985-08-26,1986-08-25,3.3191959463007503,252
18,regime_momentum,1986-08-26,1987-08-24,-0.1533302784979045,252
18,long_short_momentum,1986-08-26,1987-08-24,-0.4074687577209355,252
19,regime_momentum,1987-08-25,1988-08-22,1.3965744284186934,252
19,long_short_momentum,1987-08-25,1988-08-22,-0.9052210483734867,252
20,regime_momentum,1988-08-23,1989-08-21,3.7452238303089986,252
20,long_short_momentum,1988-08-23,1989-08-21,3.7452238303089986,252
21,regime_momentum,1989-08-22,1990-08-20,4.504534523315818,252
21,long_short_momentum,1989-08-22,1990-08-20,4.8355936226869805,252
