strategy,period,n_days,ann_return,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,sortino,max_drawdown,calmar,win_rate,profit_factor,alpha,beta,alpha_pval,skew,kurtosis
regime_momentum,Oil_Bear_1973,505,0.104543,0.033259,0.967,1.3675,5.8163,0.4796,-0.084013,1.2444,0.9505,2.6653,0.026674,-0.0175,0.0,-1.1177,20.2927
regime_momentum,Black_Monday,128,0.115762,0.042573,1.4326,0.3938,5.8688,1.9756,-0.024612,4.7034,0.75,1.784,0.067787,0.0176,0.0,0.6843,2.8759
regime_momentum,DotCom_Bust,691,0.047665,0.021463,0.3821,1.0628,3.6705,0.1332,-0.02295,2.0769,0.9841,3.5379,0.008698,0.0034,0.0,3.9688,73.869
regime_momentum,GFC,420,0.13284,0.068066,1.712,0.0788,3.3447,1.2635,-0.050658,2.6223,0.5357,2.1714,0.113112,-0.0166,0.0,1.7101,15.7225
regime_momentum,Covid,148,0.045462,0.115109,0.3343,-1.2498,3.6227,0.2481,-0.085785,0.53,0.2973,1.123,0.038508,-0.0001,0.001154,-0.7864,6.531
long_short_momentum,Oil_Bear_1973,505,0.279645,0.092627,2.2376,1.2727,4.8153,2.9807,-0.148093,1.8883,0.6317,1.6537,0.103355,-0.3214,0.0,-0.4351,1.5282
long_short_momentum,Black_Monday,128,0.05985,0.14295,0.0358,-1.9209,3.8736,0.0396,-0.146873,0.4075,0.5234,1.0927,0.129244,0.3242,0.0,-0.8766,10.4567
long_short_momentum,DotCom_Bust,691,0.114293,0.217069,0.3445,-0.8011,1.5079,0.4447,-0.28471,0.4014,0.5412,1.0933,0.031207,-0.2805,0.0,-0.7336,2.8178
long_short_momentum,GFC,420,-0.12816,0.328748,-0.4399,-2.6843,1.5025,-0.5735,-0.570706,-0.2246,0.5405,0.9361,-0.263597,-0.6014,0.0,-0.5198,1.6683
long_short_momentum,Covid,148,0.030308,0.338924,0.0688,-1.8636,2.5253,0.0939,-0.3336,0.0909,0.5676,1.0148,0.068951,-0.1572,0.053524,-0.4342,0.5194
